,Players,Player_ID,yr1_FG_zscore,yr1_FGA_zscore,yr1_FG%_zscore,yr1_3P_zscore,yr1_3PA_zscore,yr1_3P%_zscore,yr1_2P_zscore,yr1_2PA_zscore,yr1_2P%_zscore,yr1_eFG%_zscore,yr1_FT_zscore,yr1_FTA_zscore,yr1_FT%_zscore,yr1_ORB_zscore,yr1_DRB_zscore,yr1_TRB_zscore,yr1_AST_zscore,yr1_STL_zscore,yr1_BLK_zscore,yr1_TOV_zscore,yr1_PF_zscore,Year1,yr2_FG_zscore,yr2_FGA_zscore,yr2_FG%_zscore,yr2_3P_zscore,yr2_3PA_zscore,yr2_3P%_zscore,yr2_2P_zscore,yr2_2PA_zscore,yr2_2P%_zscore,yr2_eFG%_zscore,yr2_FT_zscore,yr2_FTA_zscore,yr2_FT%_zscore,yr2_ORB_zscore,yr2_DRB_zscore,yr2_TRB_zscore,yr2_AST_zscore,yr2_STL_zscore,yr2_BLK_zscore,yr2_TOV_zscore,yr2_PF_zscore,Year2,Is_Allstar
0,mahmoudabdulrauf,abdulma02,0.596185814740391,0.9679483197405653,-1.2284542900662843,0.2726090799689398,0.6223912116998219,0.2995649825853137,0.5836871624939591,0.9103804742233492,-1.1033837340745603,-1.251333335454336,-0.5829520613725502,-0.7026511002828002,1.0992710999111952,-0.9585341148199024,-0.8707317652985407,-0.9308859317567632,0.14576145476030486,-0.17625774819955833,-0.769580673240276,-0.05552090557718933,-0.26863631998489534,1990-91,0.3089871964171001,0.5716196845920437,-0.9373495620745321,0.4195699924839477,0.4815551256357424,0.7110788293719219,0.25527382230026147,0.5129323028936764,-0.9691260588011162,-0.8331800988342161,-0.4714860864330061,-0.6062625661850068,1.3319667457110163,-1.0056654047616302,-0.781507447007629,-0.8816801565452419,0.09228116628477503,-0.4179673970083851,-0.7337304539273185,0.1357085490140092,-0.4147342047855154,1991-92,0
1,shareefabdurrahim,abdursh01,1.6343461977637939,1.7054722607942001,0.01713401636100123,-0.6954900834486646,-0.6804166725562621,-0.024022393554181773,2.045094751598405,2.313064661917708,-0.2977287044740977,-0.693085796656131,2.2642242509235766,2.355253127995629,0.21690266551993653,1.7882787803845595,0.9402566591462219,1.2552724242791424,0.0944548558859904,0.4896261814677859,1.0548730560327804,1.7218441945578151,0.6284267047062859,1996-97,2.3909533795995386,2.2147384025886407,0.7881145138181352,-0.25647392335149954,-0.3611620699912802,1.1657897364153156,2.6134173905288725,2.6075374241009124,0.5130650857368115,0.42411128877116605,3.388568243790504,3.2049109003915945,0.5193712348492417,1.8430796424860443,1.0916690845392554,1.400361585613693,0.37610152437295724,0.7799517866676432,0.9097639168176924,2.453189884926912,0.6583404500115844,1997-98,1
2,quincyacy,acyqu01,-1.200929247992549,-1.2462948123465687,0.2219204214891856,-0.9038414771378762,-0.9389054471396165,-0.011715726182579581,-1.0057692334577863,-1.0403641700705457,0.14905529177926535,-0.3636221448431993,-0.831407004948733,-0.8244689688041705,-0.8166555180849184,-0.03056405644324426,-0.5275153515291554,-0.3869361034299607,-0.9016700152114974,-0.9023138246789278,-0.17243988058303494,-1.1072769125469677,-0.3029888677947001,2013-14,-0.6806943315337052,-0.7249839062093445,0.1392543554839815,-0.6720012212476411,-0.657485478686766,0.16689928002093277,-0.479909085482244,-0.5097987365830245,0.21286519278039312,-0.2439253789746482,-0.40196620677878575,-0.4649549633613539,0.3810097471661678,0.11226517503010054,0.05805457141013317,0.07961179253432592,-0.5929609585857425,-0.7510691469421078,-0.2857034850403143,-0.5418485312291466,0.29901368549180474,2014-15,0
3,michaeladams,adamsmi01,-0.7054077514103102,-0.5904520068710716,-1.3401840855742515,0.9253779633695434,1.3019001604086358,0.7718851447579956,-0.8105673164995126,-0.7898408695289755,-0.5877216858100195,-0.7832456661597711,-0.46241478067480773,-0.5718688881051879,1.1698289954720806,-0.849503500525347,-0.8036673651067404,-0.8404414155822607,0.34546126877644295,0.5476411673232372,-0.7099285750517107,-0.5375887181893734,-1.1971712415811087,1986-87,0.5546661145118329,0.7468922404192494,-0.5819229574762503,5.8536916086158275,5.923118644468739,1.1540189140390453,-0.09896771199543128,-0.14315525411710694,0.498465769059788,0.9399821213527375,0.027767442597448906,-0.08359052610177455,0.8701172165000799,-0.8423170389820995,-0.20612665747649853,-0.4344487251167984,1.7558121552708732,2.408112748136543,-0.5166215373241234,0.39458463666250426,-0.5071760470873248,1987-88,1
4,stevenadams,adamsst01,-1.0326814490521112,-1.1177072119942075,0.8106587737111605,-0.9775101580676079,-1.0457791700433672,-1.660112984481609,-0.7887161788621577,-0.8320642273866454,0.3437587666659301,0.04214762586280993,-0.41846141263040004,-0.20235311914109652,-1.5690390271764532,1.051837587419578,-0.19430763008626317,0.21311585088453397,-0.7914377293806271,-0.3821817032548463,0.762226588712127,-0.41324281180343453,1.147900953406471,2013-14,-0.22438422626830767,-0.5016723117669253,1.5224987880878116,-1.0265747299461452,-1.0919142524829886,-1.9161180030169815,0.15387547301478682,-0.026769253012394977,1.160465223036287,0.9269625834716394,-0.11157704279594614,0.46940429315428567,-2.1749381931111884,1.991554673341868,0.8494055448128649,1.2858981185712044,-0.6081467293028251,-0.40547141588831137,1.5877619906338774,0.163024474706034,1.7940821129508286,2014-15,0
5,rafaeladdison,addisra01,-0.7735400405866212,-0.7430028906099247,-0.6270752097961274,0.2972376421825862,0.306903265479615,1.0651856525926258,-0.8205357112768156,-0.8154840741086182,-0.39081347136710076,-0.3014465228312273,-0.8728473918577458,-0.9409877704883036,0.5819173008615566,-0.8114080566012077,-0.931876053587593,-0.9147522897062124,-0.8119685532267655,-0.8047737374539674,-0.6889952047188955,-0.9285571690960847,-1.3799139162526277,1986-87,-0.5902413273704289,-0.5188396092032667,-0.6863379278996414,-0.1357141207667606,-0.06801231131427873,0.45867829313136693,-0.6026834017857279,-0.5531179172528827,-0.5657345747106319,-0.6429930446767554,-0.81234778468955,-0.8349736934434638,-0.05032099887902825,-0.4757148009155077,-0.728966158020613,-0.6575159069952422,-0.661273333035778,-0.7863244204846177,-0.2415385966344589,-0.9989806552121653,-0.7235935761583225,1991-92,0
6,arronafflalo,afflaar01,-1.0227188058685233,-0.9918390304705003,-0.7699372150999196,-0.706474244065259,-0.6073815410226253,-0.271305200798592,-0.8888893649289663,-0.9035674047094074,-0.29178784754914816,-1.204727260028422,-0.5891693755744891,-0.6320697159754641,0.3553557490384696,-0.6853466451946956,-0.8490340798252457,-0.8338287671986983,-0.7190632328997109,-0.6559487595248649,-0.6631050612634853,-1.086414094547169,-1.1635601046760062,2007-08,-0.8174348274512044,-0.7974863453217992,-0.3680606250309419,-0.10645130472743597,-0.18614983482786052,0.7441755761198218,-0.8685563418819744,-0.864184369681815,-0.4299106928445262,0.21694975954225995,-0.6879538559990966,-0.7406113364380068,0.5741436286231866,-0.792671928961595,-0.8403109756956963,-0.8699125287585762,-0.7478336097615247,-0.7673941393653443,-0.5954774008745399,-0.9159931621092002,-0.09281932841235567,2008-09,0
7,dannyainge,aingeda01,-1.187421920140111,-1.0917289417675833,-2.7364589445791747,0.07678654080479068,0.0258888740949195,0.6500521462010262,-1.1956823053405647,-1.109393610533328,-2.829964146785399,-2.6373699806716644,-0.8628924452847101,-0.979369065098669,1.3766497700629337,-1.0556193133828653,-1.1863242647208085,-1.177978984956645,-0.6360585233129121,-0.6047470409044968,-0.8109405650194703,-1.1172726265647384,-1.4260550090104032,1981-82,0.20213773575871874,0.17817827781041212,0.39863679908992034,0.1444588375877493,0.4977959074768458,0.2434387068396599,0.1984531274872377,0.14874275824599487,0.5577357706517795,0.4099003615728299,-0.7196343914207546,-0.7600878403207633,0.15207988519424004,-0.31376311492263986,-0.5352521942401774,-0.47495496979776813,0.4272868557381875,1.1031826528544173,-0.6872320852954855,-0.5435184841786921,1.033654912871453,1982-83,1
8,alexisajinça,ajincal01,-0.764731250739562,-0.9306707023907732,1.533965892155301,-0.9775101580676079,-1.038654255183117,-1.660112984481609,-0.487642587003705,-0.6096422546902773,1.1402729821113788,0.8730095373084501,-0.6343193358877104,-0.7195337652465437,0.8595406540683719,0.30961931734221415,-0.24501315291452938,-0.07139154124733851,-0.8134841865468011,-0.9023138246789278,0.4305707447686824,-0.5486640997533923,0.8613054331692027,2013-14,-0.47710982303068167,-0.7315518942811803,1.6201395715657292,-1.0265747299461452,-1.1068945550276859,-1.9161180030169815,-0.12101903428513015,-0.2874518314473379,1.2141029605979414,1.0480889244143587,-0.3481904356708525,-0.4476520141666198,0.6891736832279759,0.5037838205117188,-0.027287200231337898,0.15568390318530023,-0.7524115511151102,-0.9395770002441786,0.5632105586245538,-0.3791855298594895,0.37875066828961934,2014-15,0
9,colealdrich,aldrico01,-1.3325823982768052,-1.4326303292536744,1.674425349488907,-0.9305890899414829,-0.9950906149610951,-1.5657672521245722,-1.1098831680962498,-1.1951506760858754,1.3079063427576052,1.0719707290872451,-1.0358096295119374,-1.058929683849605,-1.1522547698331582,-0.6830465038340715,-0.8712633809942831,-0.8497539721504777,-1.01349419922505,-1.4133966910836346,-0.31666399495867886,-1.1923503404391629,-1.3019975640100356,2012-13,-1.4065654466975286,-1.4800904493508618,1.4498604132664474,-0.9775101580676079,-1.0457791700433672,-1.660112984481609,-1.208818865176278,-1.2698471577731478,1.0163707708198662,0.7763976871403524,-0.9158731488320283,-0.9968625175059863,1.154779752572645,-0.5717648783746554,-0.90418494968199,-0.8369750691658318,-1.0045534819869764,-1.3612539318178232,-0.051837755512691465,-1.3104088444719044,-1.7717909090107005,2013-14,0
