Rk,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,Year,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
34,NBA,1,9,WAS,Rui Hachimura,21.137,F,jp,Gonzaga,2020,2021,2019,99,30.8,13.5,5.8,1.6,0.8,0.1,0.469,0.506,0.311,0.797,3.7,0.058
35,NBA,1,10,ATL,Cam Reddish,19.297,F,us,Duke,2020,2021,2019,84,27.4,10.7,3.8,1.5,1.1,0.4,0.378,0.438,0.309,0.808,0,0
36,NBA,1,11,MIN,Cameron Johnson,23.114,F,us,UNC,2020,2021,2019,115,23,9.3,3.3,1.3,0.6,0.3,0.432,0.56,0.373,0.825,5.4,0.099
37,NBA,1,12,CHO,PJ Washington,20.306,F,us,Kentucky,2020,2021,2019,115,30.2,12.5,5.8,2.3,0.9,1,0.452,0.496,0.386,0.699,4.4,0.061
38,NBA,1,13,MIA,Tyler Herro,19.156,G,us,Kentucky,2020,2021,2019,103,28.9,14.2,4.4,2.7,0.7,0.3,0.428,0.476,0.368,0.838,2.8,0.045
39,NBA,1,14,BOS,Romeo Langford,19.243,G,us,Indiana,2020,2021,2019,46,12.7,2.5,1.5,0.5,0.3,0.3,0.339,0.405,0.214,0.759,0.1,0.012
40,NBA,1,15,DET,Sekou Doumbouya,18.183,F,gn,,2020,2021,2019,88,16.5,5.2,2.6,0.6,0.5,0.1,0.373,0.456,0.262,0.695,-0.7,-0.023
41,NBA,1,16,ORL,Chuma Okeke,20.311,F,us,Auburn,2021,2021,2019,45,25.2,7.8,4,2.2,1.1,0.5,0.417,0.47,0.348,0.75,1.4,0.06
42,NBA,1,17,BRK,Nickeil Alexander-Walker,20.296,G,ca,Virginia Tech,2020,2021,2019,88,16.4,7.8,2.4,1.9,0.6,0.3,0.398,0.448,0.347,0.719,0.4,0.014
43,NBA,1,18,IND,Goga Bitadze,19.34,C,ge,,2020,2021,2019,91,9.8,4,2.5,0.5,0.2,0.9,0.462,0.571,0.235,0.744,1.9,0.103
44,NBA,1,20,BOS,Matisse Thybulle,22.113,G,us,Washington,2020,2021,2019,126,19.9,4.3,1.8,1.1,1.5,0.9,0.422,0.552,0.331,0.559,5,0.095
45,NBA,1,21,OKC,Brandon Clarke,22.279,F,ca,Gonzaga,2020,2021,2019,110,23.5,11.4,5.7,1.5,0.8,0.8,0.57,0.611,0.318,0.724,8.6,0.16
46,NBA,1,22,BOS,Grant Williams,20.207,F,us,Tennessee,2020,2021,2019,125,16.5,3.9,2.7,1,0.5,0.5,0.421,0.526,0.318,0.649,2.5,0.057
47,NBA,1,23,UTA,Darius Bazley,19.012,F,us,,2020,2021,2019,110,24.2,9.1,5.5,1.1,0.4,0.6,0.403,0.471,0.31,0.686,0.4,0.006
48,NBA,1,24,PHI,Ty Jerome,21.352,G,us,Virginia,2020,2021,2019,62,17.3,6.8,2.1,2.5,0.5,0.1,0.411,0.444,0.385,0.739,1.1,0.049
49,NBA,1,25,POR,Nassir Little,19.134,F,us,UNC,2020,2021,2019,91,12.9,4.1,2.5,0.5,0.2,0.3,0.438,0.55,0.299,0.716,1.5,0.062
50,NBA,1,27,BRK,Mfiondu Kabengele,21.315,F,ca,Florida State,2020,2021,2019,43,5.5,2.2,0.9,0.3,0.2,0.2,0.39,0.455,0.347,0.857,0.2,0.05
51,NBA,1,28,GSW,Jordan Poole,20.006,G,us,Michigan,2020,2021,2019,100,20.7,9.7,1.9,2.2,0.6,0.2,0.369,0.44,0.309,0.834,-0.1,-0.001
52,NBA,1,29,SAS,Keldon Johnson,19.257,G,us,Kentucky,2020,2021,2019,77,26.5,12.1,5.7,1.6,0.7,0.3,0.499,0.542,0.372,0.74,4.4,0.104
53,NBA,1,30,MIL,Kevin Porter,19.051,G,us,USC,2020,2021,2019,75,26.3,12.2,3.5,3.6,0.9,0.3,0.434,0.51,0.322,0.733,0.4,0.009
54,NBA,2,31,BRK,Nicolas Claxton,20.069,F,us,Georgia,2020,2021,2019,40,16.2,5.8,4.2,1.1,0.5,1,0.577,0.609,0.167,0.507,1.9,0.139
55,NBA,2,33,PHI,Carsen Edwards,21.105,G,us,Purdue,2020,2021,2019,62,9.1,3.5,1.1,0.6,0.3,0.1,0.379,0.478,0.303,0.714,0.4,0.037
56,NBA,2,34,PHI,Bruno Fernando,20.314,F,ao,Maryland,2020,2021,2019,86,10.6,3.2,3.1,0.7,0.2,0.2,0.5,0.575,0.128,0.592,0.7,0.035
57,NBA,2,36,CHO,Cody Martin,23.271,G-F,us,Nevada,2020,2021,2019,100,17.5,4.5,3.2,1.8,0.8,0.2,0.435,0.531,0.252,0.62,2.1,0.057
58,NBA,2,38,CHI,Daniel Gafford,20.267,F,us,Arkansas,2020,2021,2019,89,14.3,5.9,3.4,0.5,0.4,1.3,0.692,0.692,,0.592,4.6,0.174
59,NBA,2,40,SAC,Justin James,22.152,G,us,Wyoming,2020,2021,2019,65,6.6,2.4,0.7,0.5,0.2,0.2,0.435,0.506,0.306,0.462,0.1,0.011
60,NBA,2,41,GSW,Eric Paschall,22.233,F,us,Villanova,2020,2021,2019,99,23.5,12.2,4,1.8,0.4,0.2,0.495,0.543,0.297,0.757,2.9,0.06
61,NBA,2,43,MIN,Jaylen Nowell,19.351,G,us,Washington,2020,2021,2019,53,16.3,7.9,1.9,1.5,0.5,0.2,0.418,0.51,0.303,0.853,0.8,0.044
62,NBA,2,45,DET,Isaiah Roby,21.142,F,us,Nebraska,2020,2021,2019,57,22.5,8.6,5.5,1.8,0.8,0.6,0.49,0.543,0.326,0.745,1.5,0.057
63,NBA,2,46,ORL,Talen Horton-Tucker,18.211,G-F,us,Iowa State,2020,2021,2019,65,19,8.4,2.5,2.4,1,0.3,0.454,0.53,0.263,0.772,2,0.077
64,NBA,2,48,LAC,Terance Mann,22.25,G-F,us,Florida State,2020,2021,2019,103,15.2,5.1,2.8,1.5,0.4,0.2,0.484,0.513,0.402,0.782,3.9,0.12
65,NBA,2,52,CHO,Jalen McDaniels,21.145,F,us,San Diego State,2020,2021,2019,55,17.4,6.3,3.4,0.9,0.5,0.3,0.47,0.536,0.353,0.738,1.2,0.062
66,NBA,2,58,GSW,Miye Oni,21.325,G,us,Yale,2020,2021,2019,56,9.4,2.3,1.6,0.4,0.2,0.2,0.361,0.435,0.344,0.818,0.8,0.071
67,NBA,1,1,PHO,Deandre Ayton,19.338,C,bs,Arizona,2019,2021,2018,173,31.1,16.1,10.7,1.7,0.7,1.1,0.585,0.592,0.189,0.753,16.8,0.15
68,NBA,1,2,SAC,Marvin Bagley,19.104,F-C,us,Duke,2019,2021,2018,114,25.5,14.5,7.5,1,0.5,0.8,0.5,0.536,0.321,0.666,5.1,0.085
69,NBA,1,3,ATL,Luka Dončić,19.118,G-F,si,,2019,2021,2018,191,33.5,25.9,8.4,7.8,1,0.4,0.459,0.552,0.331,0.735,21.1,0.158
70,NBA,1,4,MEM,Jaren Jackson,18.284,F,us,Michigan State,2019,2021,2018,120,27.1,15.5,4.7,1.2,0.8,1.5,0.483,0.549,0.375,0.757,7,0.104
71,NBA,1,5,DAL,Trae Young,19.28,G,us,Oklahoma,2019,2021,2018,197,33.2,24.1,3.9,8.8,0.9,0.2,0.429,0.484,0.348,0.857,15.4,0.113
