Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,WS,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS/48
35,2019,NBA,2,50,IND,Jarrell Brantley\brantja01,23.018,F,us,College of Charleston,2020,2021,0.4,34,6.5,2.4,1.3,0.7,0.2,0.2,.432,.514,.359,.750,.096
36,2019,NBA,1,23,UTA,Darius Bazley\bazleda01,19.012,F,us,,2020,2021,0.3,115,24.5,9.5,5.5,1.2,0.4,0.6,.399,.464,.312,.700,.005
37,2019,NBA,1,30,MIL,Kevin Porter\porteke02,19.051,G,us,USC,2020,2021,0.3,76,26.3,12.2,3.4,3.6,0.9,0.3,.434,.510,.323,.728,.007
38,2019,NBA,2,39,NOP,Alen Smailagić\smailal01,18.310,F,rs,,2020,2021,0.3,28,7.3,2.9,1.5,0.6,0.2,0.3,.475,.561,.300,.720,.064
39,2019,NBA,2,44,MIA,Bol Bol\bolbo01,19.221,F-C,sd,Oregon,2020,2021,0.2,37,6.4,2.9,1.1,0.4,0.1,0.4,.475,.521,.406,.708,.031
40,2019,NBA,1,14,BOS,Romeo Langford\langfro01,19.243,G,us,Indiana,2020,2021,0.1,47,12.5,2.4,1.5,0.5,0.3,0.3,.336,.400,.214,.759,.011
41,2019,NBA,1,19,SAS,Luka Šamanić\samanlu01,19.167,F,hr,,2020,2021,0.1,35,10.1,3.9,2.2,0.6,0.2,0.3,.429,.529,.294,.576,.016
42,2019,NBA,2,40,SAC,Justin James\jamesju01,22.152,G,us,Wyoming,2020,2021,0.1,70,6.9,2.6,0.7,0.5,0.2,0.2,.424,.486,.317,.489,.007
43,2019,NBA,2,42,PHI,Admiral Schofield\schofad01,22.087,G-F,gb,Tennessee,2020,2020,0.1,33,11.2,3.0,1.4,0.5,0.2,0.1,.380,.516,.311,.667,.017
44,2019,NBA,2,57,NOP,Jordan Bone\bonejo01,21.232,G,us,Tennessee,2020,2021,0.1,24,10.4,2.8,1.2,1.1,0.1,0.0,.378,.500,.286,,.012
45,2019,NBA,1,10,ATL,Cam Reddish\reddica01,19.297,F,us,Duke,2020,2021,0.0,84,27.4,10.7,3.8,1.5,1.1,0.4,.378,.438,.309,.808,.000
46,2019,NBA,2,32,PHO,KZ Okpala\okpalkz01,20.058,F,us,Stanford,2020,2021,0.0,39,11.2,2.1,1.7,0.5,0.3,0.3,.359,.500,.240,.333,.003
47,2019,NBA,2,51,BOS,Tremont Waters\watertr01,21.166,G,us,LSU,2020,2021,0.0,34,8.4,3.0,0.7,1.9,0.7,0.1,.330,.393,.255,.955,-0.004
48,2019,NBA,2,53,UTA,Justin Wright-Foreman\wrighju02,21.241,G,us,Hofstra,2020,2020,0.0,4,11.3,4.8,1.3,1.8,0.5,0.0,.350,.500,.200,.750,-0.008
49,2019,NBA,2,59,TOR,Dewan Hernandez\hernade01,22.198,F,us,Miami (FL),2020,2020,0.0,6,4.7,2.3,2.3,0.5,0.2,0.0,.357,.333,.500,.600,.043
50,2019,NBA,1,5,CLE,Darius Garland\garlada01,19.150,G,us,Vanderbilt,2020,2021,-0.1,112,32.2,14.9,2.1,5.0,1.0,0.1,.428,.461,.373,.858,-0.001
51,2019,NBA,2,37,DAL,Deividas Sirvydis\sirvyde01,19.014,G-F,lt,,2021,2021,-0.1,19,6.0,1.3,1.5,0.3,0.1,0.0,.276,.250,.286,.500,-0.039
52,2019,NBA,2,47,SAC,Ignas Brazdeikis\brazdig01,20.168,F,lt,Michigan,2020,2021,-0.1,19,11.1,3.6,1.7,0.7,0.2,0.1,.357,.380,.300,.765,-0.027
53,2019,NBA,2,54,PHI,Marial Shayok\shayoma01,23.335,G,ca,Iowa State,2020,2020,-0.1,4,7.0,2.8,1.8,0.3,0.0,0.3,.250,.167,.333,.750,-0.130
54,2019,NBA,2,55,NYK,Kyle Guy\guyky01,21.318,G,us,Virginia,2020,2021,-0.1,33,6.8,2.6,0.9,0.8,0.1,0.0,.341,.462,.239,.889,-0.016
55,2019,NBA,1,6,PHO,Jarrett Culver\culveja01,20.125,G,us,Texas Tech,2020,2021,-0.2,97,20.7,7.8,3.3,1.4,0.8,0.5,.406,.475,.288,.503,-0.005
56,2019,NBA,2,49,SAS,Quinndary Weatherspoon\weathqu01,22.288,G,us,Mississippi State,2020,2021,-0.2,29,5.5,1.2,0.4,0.6,0.3,0.1,.324,.385,.125,.786,-0.053
57,2019,NBA,1,15,DET,Sekou Doumbouya\doumbse01,18.183,F,gn,,2020,2021,-0.5,94,17.3,5.6,2.8,0.7,0.5,0.2,.384,.475,.254,.691,-0.015
58,2019,NBA,2,35,ATL,Marcos Louzada Silva\louzama01,20.138,G,br,,,,,,,,,,,,,,,,
59,2019,NBA,2,56,LAC,Jaylen Hands\handsja01,20.133,G,us,UCLA,,,,,,,,,,,,,,,
60,2019,NBA,2,60,SAC,Vanja Marinković\marinva01,22.167,G,rs,,,,,,,,,,,,,,,,
